Machine,Problem,Cause,Remedy
Compressor,Excessive discharge air temperature.,5. Worn valves.,Replace valve plate assembly.
Compressor,Air leaking from inter stage safety relief valve when compressor is pumping.,1. Safety relief valve not functioning properly.,"Remove and install new safety relief valve. If new safety valve leaks remove cylinder head, inspect and clean reed valve assembly."
Compressor,Air leaking from inter stage safety relief valve when compressor is pumping.,2. Leaky gasket - High pressure inlet valve.,Replace gasket.
Compressor,Receiver pressure builds up slowly.,1. Dirty air filter.,Clean or replace filter element.
Compressor,Receiver pressure builds up slowly.,2. Blown cylinder head gasket.,Install new gasket.
Compressor,Receiver pressure builds up slowly.,3. Worn or broken low pressure intake or discharge valves.,Install new valve plate.
Compressor,Receiver pressure builds up slowly.,4. Air leaks.,Tighten joints.
Compressor,Receiver pressure builds up slowly.,5. Loose belts.,Tighten or replace belts.
Compressor,Receiver pressure builds up slowly.,6. Speed too slow.,Check speed.
Compressor,Receiver pressure builds up quickly on compressor.,1. Excessive water in receiver.,Drain receiver/tank.
Compressor,Receiver pressure builds up quickly on compressor.,2. Speed too fast.,Check speed.
Compressor,Reset mechanism cuts out repeatedly; fuses of proper size blow.,1. Motor overload.,Shut down immediately to avoid damage.
Compressor,Reset mechanism cuts out repeatedly; fuses of proper size blow.,2. Malfunction or improperly adjusted.,Adjust or replace.
Compressor,Reset mechanism cuts out repeatedly; fuses of proper size blow.,3. High ambient temperature.,Provide ventilation.
Compressor,Fuses blow repeatedly.,1. Wrong fuse size.,Check to make sure that fuses are of proper ampere rating.
Compressor,Compressor will not operate.,1. No electrical power.,"Turn on power, check fuse, breaker, or motor overload."
Compressor,Compressor will not operate.,2. Pressure switch not making contact.,Replace or repair.
Compressor,Compressor will not operate.,3. Defective unloader or check valve.,Replace or repair.
Compressor,Excessive noise in operation.,"1. Loose pulley, flywheel belt, belt guard, clamps or accessories.",Tighten.
Compressor,Excessive noise in operation.,2. Lack of oil in crankcase.,"Check for possible damage to bearings, replenish oil."
Compressor,Excessive noise in operation.,3. Piston hitting the valve plate.,"Remove the compressor cylinder head and inspect for foreign matter on top of the piston, clean, add a new gasket, and reassemble the head."
Compressor,Excessive noise in operation.,4. Compressor floor mounting loose.,Tighten.
Compressor,Excessive noise in operation.,5. Defective crankcase.,Repair
Compressor,Knock-same cycle as RPM.,1. Main bearings.,Replace bearings.
Compressor,Knock-same cycle as RPM.,2. Connecting rod bearings.,Replace rod.
Compressor,Knock-same cycle as RPM.,3. Loose flywheel.,Tighten.
Compressor,Knock occurs while compressor is loading.,"2. Wrist pins, wrist pin bearings.",Replace complete piston assembly.
Compressor,Knock occurs while compressor is loading.,3. Loose connecting rod bolt.,Tighten bolt.
Compressor,Knock occurs while compressor is loading.,4. Loose flywheel.,Tighten setscrew.
Compressor,Milky oil in crankcase.,1. Water entering oil reservoir due to compressor operating in high humidity environment.,Pipe air intake to less humid air source.
Compressor,Excessive oil consumption.,1. Restricted air intake.,Clean or replace air filter.
Compressor,Excessive oil consumption.,3. Worn piston rings.,Replace rings.
Compressor,Excessive oil consumption.,5. Compressor tilted too much.,Level compressor.
Compressor,Oil in discharge air.,1. Compressor air intake restricted.,Clean air filter element and check for other restrictions in the intake system.
Compressor,Oil in discharge air.,3. Excessive oil in compressor.,Drain down to bottom of threads.
Compressor,Oil in discharge air.,4. Wrong oil viscosity.,Check viscosity and change oil if necessary
Compressor,Oil in discharge air.,5. Piston rings installed up-side down.,Install rings in proper position.
Compressor,Oil in discharge air.,6. Plugged crankcase breather.,Clean or replace.
Compressor,Compressor vibrates.,1. Mounting bolts loose.,Tighten. Consider installing vibration pads.
Compressor,Receiver does not hold pressure when compressor shuts off,1. Faulty check valve.,"Bleed tank! Disassemble check valve assembly, clean or replace faulty parts."
Compressor,Excessive belt wear.,1. Pulley out of alignment.,Realign motor pulley with compressor flywheel.
Compressor,Excessive belt wear.,4. Pulley or flywheel wobble.,"Check for worn crankshaft, keyway or pulley bore, resulting from running with loose pulleys. Check for bent crankshaft - if bent then replace."
Compressor,Excessive discharge air temperature.,4. Worn valve.,Repair or replace valves.
Compressor,Receiver pressure builds up slowly.,1. Dirty air filter.,Clean or replace filter element.
Compressor,Receiver pressure builds up slowly.,2. Blown cylinder head gasket.,Install new gasket.
Compressor,Receiver pressure builds up slowly.,3. Worn or broken low pressure intake or discharge valves.,Install new flapper valves and gaskets.
Compressor,Receiver pressure builds up slowly.,5. Loose belts.,Tighten belt or replace belt.
Compressor,Receiver pressure builds up slowly.,6. Speed too slow.,Check pulley size and belt tension.
Compressor,Receiver pressure builds up rapidly.,1. Excessive water in receiver.,Drain receiver/tank.
Compressor,Reset mechanism cuts out repeatedly.,1. Motor overload.,Shut down immediately to avoid damage.
Compressor,Reset mechanism cuts out repeatedly.,2. Malfunction or improperly adjusted.,Adjust or replace.
Compressor,Reset mechanism cuts out repeatedly.,3. High ambient temperature.,Provide ventilation.
Compressor,Fuses blow repeatedly.,3. Defective unloader or check valve.,Replace or repair.
Compressor,Fuses blow repeatedly.,4. Belt to tight.,Loosen belt.
Compressor,Compressor suddenly stops working,1. Bad unloader valve,Replace the unloader valve.
Compressor,Compressor suddenly stops working,2. Loss of power,Plug compressor into a new power source
Gearbox,Gear case becomes unusually hot,1. Overload,Decrease load or use a larger model
Gearbox,Gear case becomes unusually hot,2. Insufficient or excessive lubricating oil,Adjust oil level so it aligns with mark on oil gauge
Gearbox,Gear case becomes unusually hot,3. Contaminated oil,Flush interior and resplace oil
Gearbox,Gear case becomes unusually hot,4. Oil viscosity is improper,Change oil with one having the proper viscosity
Gearbox,Gear case becomes unusually hot,5. Bearing are improperly mounted,Reassemble and tighten properly (Consult dealer)
Gearbox,Gear case becomes unusually hot,6. Shaft is connected improperly,Align properly
Gearbox,Gear case becomes unusually hot,7. Air vent port is closed,Remove rubber plug from oil cap
Gearbox,Gear case becomes unusually hot,8. Ambient temperature is too high,Install cooling fan or move to cooler area
Gearbox,Unusual or excessive noise,1. Improper meshing,Adjust properly (Consult dealer)
Gearbox,Unusual or excessive noise,2. Bearings are damaged or worn,Replace bearings (Consult dealer)
Gearbox,Unusual or excessive noise,3. Overloaded,Decrease load or use a larger model
Gearbox,Unusual or excessive noise,4. Insufficient oil,Add oil so level aligns with oil gauge
Gearbox,Unusual or excessive noise,5. Oil seal is not wet with oil,Lubricate
Gearbox,Unusual or excessive noise,6. Improper installation or connection,Tighten loose bolts and align correctly
Gearbox,Unusual or excessive noise,7. Bearing are improperly mounted,Adjust (Consult dealer)
Gearbox,Unusual or excessive noise,8. Input rpm is too high,Reduce
Gearbox,Unusual or excessive noise,9. Foreign particles are mixed in oil,Remove foreign particles and replace oil after flushing interior. (Consult dealer)
Gearbox,Vibration is excessive,1. Gear teeth are worn,Replace wheel (Consult dealer)
Gearbox,Vibration is excessive,2. Foreign particles are mixed in oil,Remove foreign particles and replace oil after flushing interior. (Consult dealer)
Gearbox,Vibration is excessive,3. Bearings are worn or damaged,Replace bearings (Consult dealer)
Gearbox,Vibration is excessive,4. Mounting bolts are loose,Tighten
Gearbox,Vibration is excessive,5. Wheel is improperly aligned,Replace wheel (Consult dealer)
Gearbox,Input/output shafts do not rotate at all,1. Teeth seizure,Replace worm and wheel (Consult dealer)
Gearbox,Input/output shafts do not rotate at all,2. Bearings are worn or damaged,Replace bearings (Consult dealer)
Gearbox,Input/output shafts do not rotate at all,3. Foreign particles are mixed in oil,Remove foreign particles and replace oil after flushing interior. (Consult dealer)
Gearbox,Input/output shafts rotates in idle condition and output shaft is not driven,1. Wheel teeth is worn,Replace wheel (Consult dealer)
Gearbox,Input/output shafts rotates in idle condition and output shaft is not driven,2. Wheel boss or shaft key are damaged,Replace wheel or key (Consult dealer)
Gearbox,Input/output shafts rotates in idle condition and output shaft is not driven,3. Input shaft or worm teeth are damaged,Replace shaft or worm (Consult dealer)
Gearbox,Input/output shafts rotates in idle condition and output shaft is not driven,4. Input shaft is broken,Replace shaft (Consult dealer)
Gearbox,Teeth are worn,1. Overload,Reduced load
Gearbox,Teeth are worn,2. Contaminated oil,Replace oil after flushing interior
Gearbox,Teeth are worn,3. Insufficient oil,Add oil
Gearbox,Teeth are worn,4. Oil viscosity is too low,Replace oil with one having the proper viscosity
Gearbox,Teeth are worn,5. Ambient temperature is too high,Install cooling fan or move to cooler area
Gearbox,Teeth are worn,6. Foreign particles are mixed in oil,"Remove foreign particles, clean interior and replace oil"
Gearbox,Teeth are worn,7. Excessive rpm,Reducer rpm or use a different model
Gearbox,Teeth are worn,8. Backlash is improper,Reassemble and adjust
Gearbox,Main body has cracks or shaft is broken,1. Overload,Reduce load or use a larger model
Gearbox,Main body has cracks or shaft is broken,2. Impact load is greater than rated load.,Reduce impact load or use a larger model
Gearbox,Main body has cracks or shaft is broken,3. Connection is improper,Align properly
Gearbox,Main body has cracks or shaft is broken,4. Gear case has partial thickness or cavities,Replace gear case (Consult dealer)
Gearbox,Oil leaks,1. Oil seal is defective,Replace oil seal
Gearbox,Oil leaks,2. Cover mounting bolts are loose,Tighten bolts
Gearbox,Oil leaks,3. Air does not escape,Check oil cap
Gearbox,Oil leaks,4. Input and output shafts are marred,Replace shafts (Consult dealer)
Gearbox,Oil leaks,5. Excessive oil,Adjust oil level so it aligns with mark on oil gauge
Gearbox,Oil leaks,6. Gear case has cavities,Replace gear case (Consult dealer)
Gearbox,Oil leaks,7. Gear case has fissures,Replace gear case (Consult dealer)
Gearbox,Oil leaks,"8. Other than normal installation directions (horizontal oblique, upside-down etc)",Const dealer about installation
centrigugal pump,Zero Flow after   Startup,Air in Pump or Suction   Pipework,Ensure Pump and   Pipework are Completely Filled with Liquid. Pump can not prime with air in   suction line.
centrigugal pump,Zero Flow after   Startup,Suction Lift Too High,Check Inlet for   obstruction. If there is not an obstruction calculate friction losses. If   static lift is too high the liquid in the suction tank must be raised or pump   lowered
centrigugal pump,Zero Flow after   Startup,Insufficient   Manometric Head,"Actual head with   friction losses is higher than pump design. Calculate head and friction   losses in discharge. Check all valves are open. To correct increase pipe   diameter, or increase impeller diameter, motor power or pump."
centrigugal pump,Zero Flow after   Startup,Operation is Reversed,Check motor direction   of rotation is in the direction of arrow on pump casing
centrigugal pump,Zero Flow after   Startup,Speed Incorrect,Check supply voltage and   frequency. Motor may also have open phase
centrigugal pump,Zero Flow after   Startup,"Impeller, strainer or   check valve clogged","Clean impeller, valve   and strainer"
centrigugal pump,Flow Decreases or None at All,"Air ingress through   shaft seal, suction piping, suction port. Pump lifts liquid with air.","Check suction pipework   for leaks, including all joints and fittings. Check shaft seal and if   necessary, increase pressure of sealing liquid. Check depth of suction   pipework or valve in liquid and deepen if required. Check inlet tank for vortexing."
centrigugal pump,Flow Decreases or None at All,Air pocket in suction   pipe,Check angle of suction   line and ensure there is no possibility for an air pocket and if so ensure   air eliminator valves are fitted
centrigugal pump,Flow Decreases or None at All,Increase of Manometric   Head,Check valves are fully   open and there are no obstructions in discharge pipe
centrigugal pump,Flow Decreases or None at All,"Impeller, strainer or   check valve clogged","Clean impeller, valve   and strainer"
centrigugal pump,Driver Overloaded,Pump operating at   lower manometric head,The actual head is   lower than originally specified. Reduce impeller size to diameter advised by   supplier or utilise an inverter to reduce pump speed
centrigugal pump,Driver Overloaded,Speed too high,Decrease pump   rotational speed or trim impeller to required size
centrigugal pump,Driver Overloaded,Mechanical Friction   inside pump,Check pump rotor for   any obstruction or deflection
centrigugal pump,Driver Overloaded,Packing wound too   tight,Loosen nuts on packing   gland
centrigugal pump,Driver Overloaded,Coupling Alignment,Check coupling rubber   and realign pump and coupling
centrigugal pump,Driver Overloaded,Density or viscosity   of the liquid pumped is higher than originally advised,Increase motor size
centrigugal pump,Driver Overloaded,Motor Defects,Check for motor   defects. May not be ventilated correctly and be in a poor location
centrigugal pump,Bearings   Overheating,Poor Coupling   Alignment,Check coupling rubber   and realign pump and coupling
centrigugal pump,Bearings   Overheating,Bearing Covers too   tight,"Check and loosen if   necessary, bearing cover"
centrigugal pump,Bearings   Overheating,Pumped flow is less   than minimum safe continuous flow,"Increase flow. If   necessary, use by-pass recirculating valve or line"
centrigugal pump,Bearings   Overheating,Too much grease,Remove excess grease
centrigugal pump,Bearings   Overheating,Insufficient lubrication   or lubricating oil / grease dirty or contaminated,"Check the amount of   oil/grease. Clean the bearings, bearing housing and lubricate"
centrigugal pump,Vibration,Partially clogged   impeller,Clean Impeller
centrigugal pump,Vibration,Worn or defective   impeller,Replace impeller
centrigugal pump,Vibration,Poor Coupling   Alignment,Check coupling rubber   and realign pump and coupling
centrigugal pump,Vibration,Oblique Shaft,Check shaft and   replace if required
centrigugal pump,Vibration,Unbalanced parts,Check and rebalance   parts if required
centrigugal pump,Noise level high,Air in liquid,Suction pipe needs to   be submerged to ensure vortexes are not created on the surface of the liquid.
centrigugal pump,Noise level high,Pump working in   cavitation area,"NPSH is too low. Check   liquid level in suction tank, check suction losses. Check valve in suction   line and ensure fully open. Increase suction head by lowering pump."
centrigugal pump,Noise level high,Pump operating outside   of duty range,Check duty point
